City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
117,Ilulissat,GL,2022-02-12 14:45:56,69.2167,-51.1,32.02,51,75,13.8,broken clouds
118,Ostrovnoy,RU,2022-02-12 14:45:57,68.0531,39.5131,16.23,94,88,11.32,overcast clouds
119,Port Moresby,PG,2022-02-12 14:45:57,-9.4431,147.1797,75.4,83,91,2.26,overcast clouds
120,Puerto Ayora,EC,2022-02-12 14:45:58,-0.7393,-90.3518,76.96,92,100,6.89,overcast clouds
121,San Felipe,VE,2022-02-12 14:45:59,10.3399,-68.7425,79.79,68,85,6.46,overcast clouds
122,Fairbanks,US,2022-02-12 14:45:23,64.8378,-147.7164,-3.91,81,100,0.0,overcast clouds
123,Shahreza,IR,2022-02-12 14:46:00,32.0339,51.8794,37.96,91,100,7.27,overcast clouds
124,Chapais,CA,2022-02-12 14:46:00,49.7834,-74.8492,-9.62,87,100,11.95,overcast clouds
125,Tobol,KZ,2022-02-12 14:46:01,52.6844,62.5794,20.3,96,100,5.97,light snow
126,San Fernando,PH,2022-02-12 14:46:01,15.0286,120.6898,82.15,76,92,4.0,overcast clouds
127,Geraldton,AU,2022-02-12 14:46:02,-28.7667,114.6,73.81,78,6,19.57,clear sky
128,Nanortalik,GL,2022-02-12 14:46:02,60.1432,-45.2371,31.06,90,100,11.23,light snow
129,Fort Nelson,CA,2022-02-12 14:45:45,58.8053,-122.7002,8.19,85,100,2.3,light snow
130,Gamba,GA,2022-02-12 14:46:03,-2.65,10.0,83.28,72,33,11.32,scattered clouds
131,Kandrian,PG,2022-02-12 14:46:04,-6.2167,149.55,76.19,89,100,5.64,light rain
132,Miri,MY,2022-02-12 14:45:25,4.4148,114.0089,77.14,100,40,3.44,light rain
133,Mitsamiouli,KM,2022-02-12 14:46:05,-11.3847,43.2844,80.15,79,100,10.78,light rain
134,Touros,BR,2022-02-12 14:46:05,-5.1989,-35.4608,85.1,62,36,10.38,scattered clouds
135,Hermanus,ZA,2022-02-12 14:46:06,-34.4187,19.2345,76.89,79,94,10.13,overcast clouds
136,Vieques,PR,2022-02-12 14:46:06,18.425,-65.8329,81.66,61,75,13.8,broken clouds
137,Ullapool,GB,2022-02-12 14:46:07,57.8987,-5.1604,48.76,87,100,20.56,overcast clouds
138,Mahebourg,MU,2022-02-12 14:47:08,-20.4081,57.7,82.69,74,20,6.91,few clouds
139,Sibolga,ID,2022-02-12 14:47:08,1.7427,98.7792,77.29,81,66,2.68,moderate rain
140,San Policarpo,PH,2022-02-12 14:47:09,12.1791,125.5072,78.49,86,100,13.0,overcast clouds
141,Sept-Iles,CA,2022-02-12 14:47:09,50.2001,-66.3821,31.05,96,75,8.05,broken clouds
142,Port Alfred,ZA,2022-02-12 14:47:10,-33.5906,26.891,80.51,78,9,18.75,clear sky
143,Greytown,ZA,2022-02-12 14:47:10,-29.0642,30.5928,82.02,51,9,8.01,clear sky
144,Namatanai,PG,2022-02-12 14:47:11,-3.6667,152.4333,78.08,83,100,5.59,moderate rain
145,Ribeira Grande,PT,2022-02-12 14:47:12,38.5167,-28.7,63.0,77,20,19.57,few clouds
146,Yuryevets,RU,2022-02-12 14:47:13,57.3201,43.1041,24.04,87,100,10.38,light snow
147,Celestun,MX,2022-02-12 14:47:13,20.8667,-90.4,74.71,78,93,10.58,overcast clouds
148,Tateyama,JP,2022-02-12 14:47:14,34.9833,139.8667,42.82,55,100,2.62,overcast clouds
149,Russell,US,2022-02-12 14:47:15,32.3502,-85.1999,53.31,93,0,0.0,clear sky
150,Abbeyfeale,IE,2022-02-12 14:47:16,52.3814,-9.3025,53.31,83,74,13.71,broken clouds
151,Vardo,NO,2022-02-12 14:47:17,70.3705,31.1107,16.0,72,37,14.54,scattered clouds
152,Yar-Sale,RU,2022-02-12 14:47:18,66.8333,70.8333,-6.5,88,100,14.56,overcast clouds
153,Houlton,US,2022-02-12 14:47:18,46.1262,-67.8403,39.49,83,100,3.44,overcast clouds
154,Rabo De Peixe,PT,2022-02-12 14:47:19,37.8,-25.5833,60.31,67,75,13.8,broken clouds
155,Saint-Georges,GD,2022-02-12 14:47:19,12.0564,-61.7485,82.08,65,75,18.41,broken clouds
156,Rincon,US,2022-02-12 14:47:21,32.296,-81.2354,60.13,76,75,0.0,broken clouds
157,Zaqatala,AZ,2022-02-12 14:47:21,41.6336,46.6433,48.67,50,0,4.61,clear sky
158,Agadez,NE,2022-02-12 14:47:22,19.75,10.25,74.86,12,0,7.16,clear sky
159,Port Elizabeth,ZA,2022-02-12 14:47:22,-33.918,25.5701,79.09,78,0,18.41,clear sky
160,Suez,EG,2022-02-12 14:47:22,29.9737,32.5263,66.61,31,0,9.84,clear sky
161,Gat,IL,2022-02-12 14:47:23,31.61,34.7642,63.28,28,0,9.13,clear sky
162,Arraial Do Cabo,BR,2022-02-12 14:47:23,-22.9661,-42.0278,82.36,83,40,11.5,scattered clouds
163,Kodiak,US,2022-02-12 14:47:24,57.79,-152.4072,38.71,65,0,6.91,clear sky
164,Tiznit,MA,2022-02-12 14:47:25,29.5833,-9.5,68.94,28,0,12.73,clear sky
