City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Airai,TL,2022-02-02 20:15:00,-8.9266,125.4092,60.31,88,100,2.26
140,Buluang,PH,2022-02-02 20:15:01,13.3068,123.3425,74.44,94,100,3.31
141,Suarez,CO,2022-02-02 20:15:01,2.954,-76.6964,76.1,79,77,4.32
142,Filadelfia,US,2022-02-02 20:13:03,39.9523,-75.1638,48.15,79,75,1.99
143,Barrow,US,2022-02-02 20:13:15,71.2906,-156.7887,-21.98,69,0,4.61
144,Morro Bay,US,2022-02-02 20:12:08,35.3658,-120.8499,64.27,26,0,3.0
145,Hilo,US,2022-02-02 20:13:13,19.7297,-155.09,78.53,71,40,0.0
146,Kandrian,PG,2022-02-02 20:15:02,-6.2167,149.55,78.13,85,100,14.05
147,Vostok,RU,2022-02-02 20:15:02,46.4856,135.8833,-5.21,99,100,3.6
148,London,GB,2022-02-02 20:12:35,51.5085,-0.1257,50.5,85,100,4.61
149,Husavik,IS,2022-02-02 20:13:02,66.0449,-17.3389,19.71,89,98,5.17
150,Coquimbo,CL,2022-02-02 20:11:08,-29.9533,-71.3436,69.53,64,20,16.11
151,Hambantota,LK,2022-02-02 20:15:03,6.1241,81.1185,73.08,83,8,12.08
152,Akyab,MM,2022-02-02 20:15:04,20.15,92.9,64.53,74,5,7.43
153,Puerto Del Rosario,ES,2022-02-02 20:15:04,28.5004,-13.8627,74.88,43,0,6.91
154,Miandrivazo,MG,2022-02-02 20:15:05,-19.5167,45.4667,79.65,77,74,1.43
155,Pointe-Noire,CG,2022-02-02 20:15:05,-4.7761,11.8635,78.93,83,100,6.31
156,Puerto Ayora,EC,2022-02-02 20:15:05,-0.7393,-90.3518,84.16,88,45,8.01
157,Beaverlodge,CA,2022-02-02 20:15:06,55.2166,-119.4361,-10.05,94,100,4.36
158,Hermanus,ZA,2022-02-02 20:15:06,-34.4187,19.2345,66.9,85,10,10.58
159,Dergachi,RU,2022-02-02 20:15:06,51.2328,48.7659,31.68,93,100,17.92
160,Lasa,IT,2022-02-02 20:15:07,46.6166,10.7002,39.94,95,91,7.9
161,Norman Wells,CA,2022-02-02 20:13:27,65.282,-126.8329,-17.19,97,99,7.4
162,Karacakoy,TR,2022-02-02 20:13:04,41.4029,28.3834,42.84,98,100,16.2
163,Tazovskiy,RU,2022-02-02 20:15:07,67.4667,78.7,-12.98,98,100,8.05
164,Dhenkanal,IN,2022-02-02 20:15:08,20.6667,85.6,69.58,87,2,1.81
165,Svetlaya,RU,2022-02-02 20:15:08,46.5389,138.3297,5.83,76,12,9.62
166,Nanortalik,GL,2022-02-02 20:15:08,60.1432,-45.2371,6.39,72,1,11.43
