City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
97,Codajas,BR,88.0,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
98,Kaitangata,NZ,50.94,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
99,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
100,Atuona,PF,76.89,light rain,-9.8,-139.0333,Villa Enata
101,Torbay,CA,39.58,broken clouds,47.6666,-52.7314,Gallows Cove
102,Dhidhdhoo,MV,81.75,overcast clouds,6.8833,73.1,Dhidhoo beach
103,Pimenta Bueno,BR,83.43,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
105,Castro,BR,76.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
106,Hilo,US,69.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
108,Nabire,ID,76.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
110,Majene,ID,76.06,light rain,-3.5403,118.9707,Kost Putri RABBANI
111,Stillwater,US,27.61,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
112,Dunedin,NZ,50.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
113,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
114,Umkomaas,ZA,86.59,few clouds,-30.2067,30.7978,The Norwegian Lodge
116,Quang Ngai,VN,71.69,overcast clouds,15.1167,108.8,Central Hotel
117,Ilulissat,GL,32.02,broken clouds,69.2167,-51.1,Hotel Arctic
118,Ostrovnoy,RU,16.23,overcast clouds,68.0531,39.5131,
119,Port Moresby,PG,75.4,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
120,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,San Felipe,VE,79.79,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
123,Shahreza,IR,37.96,overcast clouds,32.0339,51.8794,خوابگاه
125,Tobol,KZ,20.3,light snow,52.6844,62.5794,Tobol Gostinitsa
126,San Fernando,PH,82.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
127,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
128,Nanortalik,GL,31.06,light snow,60.1432,-45.2371,Hotel Kap Farvel
130,Gamba,GA,83.28,scattered clouds,-2.65,10.0,
131,Kandrian,PG,76.19,light rain,-6.2167,149.55,Kandrian Station
132,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
133,Mitsamiouli,KM,80.15,light rain,-11.3847,43.2844,Foyer ADM
134,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
135,Hermanus,ZA,76.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
136,Vieques,PR,81.66,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
137,Ullapool,GB,48.76,overcast clouds,57.8987,-5.1604,Argyll Hotel
138,Mahebourg,MU,82.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
